Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
1992,1,1,00:00,UTC,21
1992,1,2,00:00,UTC,28
1992,1,3,00:00,UTC,30
1992,1,4,00:00,UTC,30
1992,1,5,00:00,UTC,30
1992,1,6,00:00,UTC,29
1992,1,7,00:00,UTC,29
1992,1,8,00:00,UTC,29
1992,1,9,00:00,UTC,31
1992,1,10,00:00,UTC,36
1992,1,11,00:00,UTC,38
1992,1,12,00:00,UTC,39
1992,1,13,00:00,UTC,18
1992,1,14,00:00,UTC,19
1992,1,15,00:00,UTC,26
1992,1,16,00:00,UTC,26
1992,1,17,00:00,UTC,26
1992,1,18,00:00,UTC,26
1992,1,19,00:00,UTC,26
1992,1,20,00:00,UTC,26
1992,1,21,00:00,UTC,26
1992,1,22,00:00,UTC,26
1992,1,23,00:00,UTC,26
1992,1,24,00:00,UTC,25
1992,1,25,00:00,UTC,25
1992,1,26,00:00,UTC,25
1992,1,27,00:00,UTC,26
1992,1,28,00:00,UTC,26
1992,1,29,00:00,UTC,24
1992,1,30,00:00,UTC,24
1992,1,31,00:00,UTC,24
1992,2,1,00:00,UTC,24
1992,2,2,00:00,UTC,26
1992,2,3,00:00,UTC,26
1992,2,4,00:00,UTC,27
1992,2,5,00:00,UTC,27
1992,2,6,00:00,UTC,27
1992,2,7,00:00,UTC,27
1992,2,8,00:00,UTC,28
1992,2,9,00:00,UTC,28
1992,2,10,00:00,UTC,28
1992,2,11,00:00,UTC,28
1992,2,12,00:00,UTC,33
1992,2,13,00:00,UTC,44
1992,2,14,00:00,UTC,44
1992,2,15,00:00,UTC,45
1992,2,16,00:00,UTC,44
1992,2,17,00:00,UTC,44
1992,2,18,00:00,UTC,40
1992,2,19,00:00,UTC,40
1992,2,20,00:00,UTC,40
1992,2,21,00:00,UTC,40
1992,2,22,00:00,UTC,42
1992,2,23,00:00,UTC,43
1992,2,24,00:00,UTC,43
1992,2,25,00:00,UTC,43
1992,2,26,00:00,UTC,42
1992,2,27,00:00,UTC,42
1992,2,28,00:00,UTC,42
1992,2,29,00:00,UTC,45
1992,3,1,00:00,UTC,47
1992,3,2,00:00,UTC,46
1992,3,3,00:00,UTC,46
1992,3,4,00:00,UTC,46
1992,3,5,00:00,UTC,46
1992,3,6,00:00,UTC,46
1992,3,7,00:00,UTC,45
1992,3,8,00:00,UTC,42
1992,3,9,00:00,UTC,42
1992,3,10,00:00,UTC,42
1992,3,11,00:00,UTC,40
1992,3,12,00:00,UTC,44
1992,3,13,00:00,UTC,49
1992,3,14,00:00,UTC,56
1992,3,15,00:00,UTC,56
1992,3,16,00:00,UTC,56
1992,3,17,00:00,UTC,54
1992,3,18,00:00,UTC,55
1992,3,19,00:00,UTC,53
1992,3,20,00:00,UTC,56
1992,3,21,00:00,UTC,53
1992,3,22,00:00,UTC,53
1992,3,23,00:00,UTC,55
1992,3,24,00:00,UTC,59
1992,3,25,00:00,UTC,59
1992,3,26,00:00,UTC,59
1992,3,27,00:00,UTC,59
1992,3,28,00:00,UTC,59
1992,3,29,00:00,UTC,62
1992,3,30,00:00,UTC,65
1992,3,31,00:00,UTC,64
1992,4,1,00:00,UTC,50
1992,4,2,00:00,UTC,51
1992,4,3,00:00,UTC,51
1992,4,4,00:00,UTC,53
1992,4,5,00:00,UTC,53
1992,4,6,00:00,UTC,53
1992,4,7,00:00,UTC,53
1992,4,8,00:00,UTC,54
1992,4,9,00:00,UTC,54
1992,4,10,00:00,UTC,53
1992,4,11,00:00,UTC,52
1992,4,12,00:00,UTC,55
1992,4,13,00:00,UTC,54
1992,4,14,00:00,UTC,53
1992,4,15,00:00,UTC,54
1992,4,16,00:00,UTC,54
1992,4,17,00:00,UTC,53
1992,4,18,00:00,UTC,52
1992,4,19,00:00,UTC,53
1992,4,20,00:00,UTC,53
1992,4,21,00:00,UTC,52
1992,4,22,00:00,UTC,51
1992,4,23,00:00,UTC,50
1992,4,24,00:00,UTC,50
1992,4,25,00:00,UTC,54
1992,4,26,00:00,UTC,52
1992,4,27,00:00,UTC,51
1992,4,28,00:00,UTC,49
1992,4,29,00:00,UTC,45
1992,4,30,00:00,UTC,40
1992,5,1,00:00,UTC,35
1992,5,2,00:00,UTC,31
1992,5,3,00:00,UTC,22
1992,5,4,00:00,UTC,15
1992,5,5,00:00,UTC,12
1992,5,6,00:00,UTC,6
1992,5,7,00:00,UTC,4
1992,5,8,00:00,UTC,0
1992,5,9,00:00,UTC,0
1992,5,10,00:00,UTC,0
1992,5,11,00:00,UTC,0
1992,5,12,00:00,UTC,0
1992,5,13,00:00,UTC,0
1992,5,14,00:00,UTC,0
1992,5,15,00:00,UTC,0
1992,5,16,00:00,UTC,0
1992,5,17,00:00,UTC,0
1992,5,18,00:00,UTC,-1
1992,5,19,00:00,UTC,-1
1992,5,20,00:00,UTC,-1
1992,5,21,00:00,UTC,-1
1992,5,22,00:00,UTC,-1
1992,5,23,00:00,UTC,-1
1992,5,24,00:00,UTC,-1
1992,5,25,00:00,UTC,-1
1992,5,26,00:00,UTC,-1
1992,5,27,00:00,UTC,-1
1992,5,28,00:00,UTC,-1
1992,5,29,00:00,UTC,-1
1992,5,30,00:00,UTC,-1
1992,5,31,00:00,UTC,-1
1992,6,1,00:00,UTC,-1
1992,6,2,00:00,UTC,-1
1992,6,3,00:00,UTC,-1
1992,6,4,00:00,UTC,-1
1992,6,5,00:00,UTC,-1
1992,6,6,00:00,UTC,-1
1992,6,7,00:00,UTC,-1
1992,6,8,00:00,UTC,-1
1992,6,9,00:00,UTC,-1
1992,6,10,00:00,UTC,-1
1992,6,11,00:00,UTC,-1
1992,6,12,00:00,UTC,-1
1992,6,13,00:00,UTC,-1
1992,6,14,00:00,UTC,-1
1992,6,15,00:00,UTC,-1
1992,6,16,00:00,UTC,-1
1992,6,17,00:00,UTC,-1
1992,6,18,00:00,UTC,-1
1992,6,19,00:00,UTC,-1
1992,6,20,00:00,UTC,-1
1992,6,21,00:00,UTC,-1
1992,6,22,00:00,UTC,-1
1992,6,23,00:00,UTC,-1
1992,6,24,00:00,UTC,-1
1992,6,25,00:00,UTC,-1
1992,6,26,00:00,UTC,-1
1992,6,27,00:00,UTC,-1
1992,6,28,00:00,UTC,-1
1992,6,29,00:00,UTC,-1
1992,6,30,00:00,UTC,-1
1992,7,1,00:00,UTC,-1
1992,7,2,00:00,UTC,-1
1992,7,3,00:00,UTC,-1
1992,7,4,00:00,UTC,-1
1992,7,5,00:00,UTC,-1
1992,7,6,00:00,UTC,-1
1992,7,7,00:00,UTC,-1
1992,7,8,00:00,UTC,-1
1992,7,9,00:00,UTC,-1
1992,7,10,00:00,UTC,-1
1992,7,11,00:00,UTC,-1
1992,7,12,00:00,UTC,-1
1992,7,13,00:00,UTC,-1
1992,7,14,00:00,UTC,-1
1992,7,15,00:00,UTC,-1
1992,7,16,00:00,UTC,-1
1992,7,17,00:00,UTC,-1
1992,7,18,00:00,UTC,-1
1992,7,19,00:00,UTC,-1
1992,7,20,00:00,UTC,-1
1992,7,21,00:00,UTC,-1
1992,7,22,00:00,UTC,-1
1992,7,23,00:00,UTC,-1
1992,7,24,00:00,UTC,-1
1992,7,25,00:00,UTC,-1
1992,7,26,00:00,UTC,-1
1992,7,27,00:00,UTC,-1
1992,7,28,00:00,UTC,-1
1992,7,29,00:00,UTC,-1
1992,7,30,00:00,UTC,-1
1992,7,31,00:00,UTC,-1
1992,8,1,00:00,UTC,-1
1992,8,2,00:00,UTC,-1
1992,8,3,00:00,UTC,-1
1992,8,4,00:00,UTC,-1
1992,8,5,00:00,UTC,-1
1992,8,6,00:00,UTC,-1
1992,8,7,00:00,UTC,-1
1992,8,8,00:00,UTC,-1
1992,8,9,00:00,UTC,-1
1992,8,10,00:00,UTC,-1
1992,8,11,00:00,UTC,-1
1992,8,12,00:00,UTC,-1
1992,8,13,00:00,UTC,-1
1992,8,14,00:00,UTC,-1
1992,8,15,00:00,UTC,-1
1992,8,16,00:00,UTC,-1
1992,8,17,00:00,UTC,-1
1992,8,18,00:00,UTC,-1
1992,8,19,00:00,UTC,-1
1992,8,20,00:00,UTC,-1
1992,8,21,00:00,UTC,-1
1992,8,22,00:00,UTC,-1
1992,8,23,00:00,UTC,-1
1992,8,24,00:00,UTC,-1
1992,8,25,00:00,UTC,-1
1992,8,26,00:00,UTC,-1
1992,8,27,00:00,UTC,-1
1992,8,28,00:00,UTC,-1
1992,8,29,00:00,UTC,-1
1992,8,30,00:00,UTC,-1
1992,8,31,00:00,UTC,-1
1992,9,1,00:00,UTC,-1
1992,9,2,00:00,UTC,-1
1992,9,3,00:00,UTC,-1
1992,9,4,00:00,UTC,-1
1992,9,5,00:00,UTC,-1
1992,9,6,00:00,UTC,-1
1992,9,7,00:00,UTC,-1
1992,9,8,00:00,UTC,-1
1992,9,9,00:00,UTC,-1
1992,9,10,00:00,UTC,-1
1992,9,11,00:00,UTC,-1
1992,9,12,00:00,UTC,-1
1992,9,13,00:00,UTC,-1
1992,9,14,00:00,UTC,-1
1992,9,15,00:00,UTC,-1
1992,9,16,00:00,UTC,-1
1992,9,17,00:00,UTC,-1
