"111k -- Kasvihuonekaasupäästöt Suomessa, 1990-2017"

"Kasvihuonekaasu","Päästöluokka","Päästö, tuhatta tonnia CO2-ekv. 1990","Päästö, tuhatta tonnia CO2-ekv. 1991","Päästö, tuhatta tonnia CO2-ekv. 1992","Päästö, tuhatta tonnia CO2-ekv. 1993","Päästö, tuhatta tonnia CO2-ekv. 1994","Päästö, tuhatta tonnia CO2-ekv. 1995","Päästö, tuhatta tonnia CO2-ekv. 1996","Päästö, tuhatta tonnia CO2-ekv. 1997","Päästö, tuhatta tonnia CO2-ekv. 1998","Päästö, tuhatta tonnia CO2-ekv. 1999","Päästö, tuhatta tonnia CO2-ekv. 2000","Päästö, tuhatta tonnia CO2-ekv. 2001","Päästö, tuhatta tonnia CO2-ekv. 2002","Päästö, tuhatta tonnia CO2-ekv. 2003","Päästö, tuhatta tonnia CO2-ekv. 2004","Päästö, tuhatta tonnia CO2-ekv. 2005","Päästö, tuhatta tonnia CO2-ekv. 2006","Päästö, tuhatta tonnia CO2-ekv. 2007","Päästö, tuhatta tonnia CO2-ekv. 2008","Päästö, tuhatta tonnia CO2-ekv. 2009","Päästö, tuhatta tonnia CO2-ekv. 2010","Päästö, tuhatta tonnia CO2-ekv. 2011","Päästö, tuhatta tonnia CO2-ekv. 2012","Päästö, tuhatta tonnia CO2-ekv. 2013","Päästö, tuhatta tonnia CO2-ekv. 2014","Päästö, tuhatta tonnia CO2-ekv. 2015","Päästö, tuhatta tonnia CO2-ekv. 2016","Päästö, tuhatta tonnia CO2-ekv. 2017"
"Kaasut yhteensä","Päästöt yhteensä pl. LULUCF-sektori",71300,69061,67618,69871,75489,71923,77796,76375,72682,72093,70239,75598,78046,85630,81941,69902,81265,79602,71479,67873,75695,67868,62476,62952,58787,55176,58098,55387
"Kaasut yhteensä","Epäsuorat CO2 päästöt",167,156,150,144,143,135,122,120,116,111,109,108,99,98,100,89,91,89,80,69,68,63,60,58,54,53,54,53
"Kaasut yhteensä","1 Energiasektori",53558,52211,51579,53531,58805,55338,61083,59494,56164,55551,53746,59177,61771,69363,65486,53707,64811,62817,54484,52635,60237,52716,47557,48135,44306,40603,43386,41023
"Kaasut yhteensä","  1A1 Energiateollisuus",18969,18788,18608,21354,26343,24031,29782,27400,24149,23608,22138,27571,30390,37464,33400,22149,33035,31040,24511,25616,30947,24868,20893,22172,20949,17762,19150,17554
"Kaasut yhteensä","  1A2 Teollisuus ja rakentaminen (polttoperäiset päästöt)",13663,13139,12601,12698,12973,12409,12273,12556,12193,12165,12202,11751,11434,11810,11902,11598,11862,11706,11160,8923,10250,9836,8641,8609,7279,6951,7024,6853
"Kaasut yhteensä","  1A3 Kotimaan liikenne",12097,11730,11645,11191,11547,11343,11343,11901,12030,12234,12114,12230,12411,12610,12945,12921,13081,13423,12777,12205,12712,12517,12209,12003,10868,10858,12078,11484
"Kaasut yhteensä","  1A4 Muut sektorit",7561,7390,7501,7093,6575,6085,6175,6165,6235,6142,5785,6017,5974,5869,5764,5429,5328,5178,4701,4672,4982,4303,4575,4190,4079,3852,3983,3841
"Kaasut yhteensä","     1A4a Kauppa, palvelut ja julkinen sektori",2272,2206,2329,2024,1720,1403,1464,1469,1476,1468,1361,1406,1396,1365,1334,1275,1263,1220,1038,1069,1163,1046,1134,1039,1027,957,1047,1034
"Kaasut yhteensä","     1A4b Kotitaloudet",3393,3263,3286,3204,2978,2920,2970,2963,2995,2938,2737,2919,2868,2793,2738,2517,2476,2334,2058,2060,2234,1749,1862,1642,1599,1453,1496,1409
"Kaasut yhteensä","     1A4c Maa-, metsä- ja kalatalous",1896,1921,1886,1864,1876,1762,1740,1734,1763,1736,1687,1692,1711,1711,1692,1637,1589,1623,1606,1543,1585,1508,1579,1510,1452,1442,1440,1398
