"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Sähkön tuotanto Suomessa"
"2018-12-31 21:00:00","2018-12-31 22:00:00","2019-01-01 00:00:00","2019-01-01 01:00:00","8769.0"
"2018-12-31 22:00:00","2018-12-31 23:00:00","2019-01-01 01:00:00","2019-01-01 02:00:00","8457.0"
"2018-12-31 23:00:00","2019-01-01 00:00:00","2019-01-01 02:00:00","2019-01-01 03:00:00","8345.0"
"2019-01-01 00:00:00","2019-01-01 01:00:00","2019-01-01 03:00:00","2019-01-01 04:00:00","8215.0"
"2019-01-01 01:00:00","2019-01-01 02:00:00","2019-01-01 04:00:00","2019-01-01 05:00:00","8052.0"
"2019-01-01 02:00:00","2019-01-01 03:00:00","2019-01-01 05:00:00","2019-01-01 06:00:00","7845.0"
"2019-01-01 03:00:00","2019-01-01 04:00:00","2019-01-01 06:00:00","2019-01-01 07:00:00","7677.0"
"2019-01-01 04:00:00","2019-01-01 05:00:00","2019-01-01 07:00:00","2019-01-01 08:00:00","7544.0"
"2019-01-01 05:00:00","2019-01-01 06:00:00","2019-01-01 08:00:00","2019-01-01 09:00:00","7404.0"
"2019-01-01 06:00:00","2019-01-01 07:00:00","2019-01-01 09:00:00","2019-01-01 10:00:00","7341.0"
"2019-01-01 07:00:00","2019-01-01 08:00:00","2019-01-01 10:00:00","2019-01-01 11:00:00","7392.0"
"2019-01-01 08:00:00","2019-01-01 09:00:00","2019-01-01 11:00:00","2019-01-01 12:00:00","7296.0"
"2019-01-01 09:00:00","2019-01-01 10:00:00","2019-01-01 12:00:00","2019-01-01 13:00:00","7387.0"
"2019-01-01 10:00:00","2019-01-01 11:00:00","2019-01-01 13:00:00","2019-01-01 14:00:00","7568.0"
"2019-01-01 11:00:00","2019-01-01 12:00:00","2019-01-01 14:00:00","2019-01-01 15:00:00","7782.0"
"2019-01-01 12:00:00","2019-01-01 13:00:00","2019-01-01 15:00:00","2019-01-01 16:00:00","7892.0"
"2019-01-01 13:00:00","2019-01-01 14:00:00","2019-01-01 16:00:00","2019-01-01 17:00:00","8010.0"
"2019-01-01 14:00:00","2019-01-01 15:00:00","2019-01-01 17:00:00","2019-01-01 18:00:00","8300.0"
"2019-01-01 15:00:00","2019-01-01 16:00:00","2019-01-01 18:00:00","2019-01-01 19:00:00","8595.0"
"2019-01-01 16:00:00","2019-01-01 17:00:00","2019-01-01 19:00:00","2019-01-01 20:00:00","8704.0"
"2019-01-01 17:00:00","2019-01-01 18:00:00","2019-01-01 20:00:00","2019-01-01 21:00:00","8677.0"
"2019-01-01 18:00:00","2019-01-01 19:00:00","2019-01-01 21:00:00","2019-01-01 22:00:00","8574.0"
"2019-01-01 19:00:00","2019-01-01 20:00:00","2019-01-01 22:00:00","2019-01-01 23:00:00","8402.0"
"2019-01-01 20:00:00","2019-01-01 21:00:00","2019-01-01 23:00:00","2019-01-02 00:00:00","8338.0"
"2019-01-01 21:00:00","2019-01-01 22:00:00","2019-01-02 00:00:00","2019-01-02 01:00:00","8230.0"
"2019-01-01 22:00:00","2019-01-01 23:00:00","2019-01-02 01:00:00","2019-01-02 02:00:00","7871.0"
"2019-01-01 23:00:00","2019-01-02 00:00:00","2019-01-02 02:00:00","2019-01-02 03:00:00","7805.0"
"2019-01-02 00:00:00","2019-01-02 01:00:00","2019-01-02 03:00:00","2019-01-02 04:00:00","7784.0"
"2019-01-02 01:00:00","2019-01-02 02:00:00","2019-01-02 04:00:00","2019-01-02 05:00:00","7820.0"
"2019-01-02 02:00:00","2019-01-02 03:00:00","2019-01-02 05:00:00","2019-01-02 06:00:00","7891.0"
"2019-01-02 03:00:00","2019-01-02 04:00:00","2019-01-02 06:00:00","2019-01-02 07:00:00","8128.0"
"2019-01-02 04:00:00","2019-01-02 05:00:00","2019-01-02 07:00:00","2019-01-02 08:00:00","8711.0"
"2019-01-02 05:00:00","2019-01-02 06:00:00","2019-01-02 08:00:00","2019-01-02 09:00:00","9120.0"
"2019-01-02 06:00:00","2019-01-02 07:00:00","2019-01-02 09:00:00","2019-01-02 10:00:00","9276.0"
"2019-01-02 07:00:00","2019-01-02 08:00:00","2019-01-02 10:00:00","2019-01-02 11:00:00","9267.0"
"2019-01-02 08:00:00","2019-01-02 09:00:00","2019-01-02 11:00:00","2019-01-02 12:00:00","9293.0"
"2019-01-02 09:00:00","2019-01-02 10:00:00","2019-01-02 12:00:00","2019-01-02 13:00:00","9438.0"
"2019-01-02 10:00:00","2019-01-02 11:00:00","2019-01-02 13:00:00","2019-01-02 14:00:00","9399.0"
"2019-01-02 11:00:00","2019-01-02 12:00:00","2019-01-02 14:00:00","2019-01-02 15:00:00","9421.0"
"2019-01-02 12:00:00","2019-01-02 13:00:00","2019-01-02 15:00:00","2019-01-02 16:00:00","9452.0"
"2019-01-02 13:00:00","2019-01-02 14:00:00","2019-01-02 16:00:00","2019-01-02 17:00:00","9610.0"
"2019-01-02 14:00:00","2019-01-02 15:00:00","2019-01-02 17:00:00","2019-01-02 18:00:00","9704.0"
"2019-01-02 15:00:00","2019-01-02 16:00:00","2019-01-02 18:00:00","2019-01-02 19:00:00","9874.0"
"2019-01-02 16:00:00","2019-01-02 17:00:00","2019-01-02 19:00:00","2019-01-02 20:00:00","10094.0"
"2019-01-02 17:00:00","2019-01-02 18:00:00","2019-01-02 20:00:00","2019-01-02 21:00:00","10053.0"
"2019-01-02 18:00:00","2019-01-02 19:00:00","2019-01-02 21:00:00","2019-01-02 22:00:00","9926.0"
"2019-01-02 19:00:00","2019-01-02 20:00:00","2019-01-02 22:00:00","2019-01-02 23:00:00","9791.0"
"2019-01-02 20:00:00","2019-01-02 21:00:00","2019-01-02 23:00:00","2019-01-03 00:00:00","9629.0"
"2019-01-02 21:00:00","2019-01-02 22:00:00","2019-01-03 00:00:00","2019-01-03 01:00:00","9386.0"
"2019-01-02 22:00:00","2019-01-02 23:00:00","2019-01-03 01:00:00","2019-01-03 02:00:00","9175.0"
"2019-01-02 23:00:00","2019-01-03 00:00:00","2019-01-03 02:00:00","2019-01-03 03:00:00","9084.0"
"2019-01-03 00:00:00","2019-01-03 01:00:00","2019-01-03 03:00:00","2019-01-03 04:00:00","9017.0"
"2019-01-03 01:00:00","2019-01-03 02:00:00","2019-01-03 04:00:00","2019-01-03 05:00:00","8868.0"
"2019-01-03 02:00:00","2019-01-03 03:00:00","2019-01-03 05:00:00","2019-01-03 06:00:00","8770.0"
"2019-01-03 03:00:00","2019-01-03 04:00:00","2019-01-03 06:00:00","2019-01-03 07:00:00","8676.0"
"2019-01-03 04:00:00","2019-01-03 05:00:00","2019-01-03 07:00:00","2019-01-03 08:00:00","8857.0"
